30,30,30,30,30,30,30,30,30,30,31,29,30,31,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
38,38,38,38,38,38,38,38,38,38,20,29,30,31,18,38,38,38,38,38,38,38,38,38,38,38,38,38,38,30,30,30
27,27,27,27,27,27,27,27,27,27,28,29,30,31,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30,30,30
54,54,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,29,30,30
54,54,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,29,30,30
54,54,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,29,30,30
11,11,11,11,11,11,11,12,54,54,54,29,30,30,11,11,11,11,11,12,54,54,54,10,11,12,54,54,54,29,30,30
30,30,38,38,38,30,30,31,54,54,54,18,38,38,38,38,38,30,30,31,54,54,54,30,30,30,54,54,54,18,38,20
30,31,27,27,27,30,30,31,54,54,54,26,27,27,27,27,27,29,30,31,54,54,54,30,30,30,54,54,54,26,27,27
30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,30,30,30,54,54,54,54,54,54
30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,30,30,30,54,54,54,54,54,54
30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,30,30,30,54,54,54,54,54,54
30,31,54,54,54,29,30,31,10,11,11,11,11,12,54,54,54,29,30,31,54,54,54,30,30,30,11,11,11,11,11,11
30,31,54,54,54,18,38,38,38,38,38,30,30,31,54,54,54,29,30,31,54,54,54,18,38,38,38,38,38,30,30,30
30,31,54,54,54,26,27,27,27,27,28,29,30,31,54,54,54,29,30,31,54,54,54,26,27,27,27,27,27,29,30,30
30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,30
30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,30
30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,30
30,31,54,54,54,10,11,12,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,10,11,12,54,54,54,29,30,30
30,31,54,54,54,29,30,31,54,54,54,18,30,20,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,29,30,30
30,31,54,54,54,29,30,31,54,54,54,26,27,28,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,29,30,30
30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,29,30,30
30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,29,30,30
30,31,54,54,54,29,30,31,54,54,54,54,54,54,54,54,54,29,30,31,54,54,54,29,30,31,54,54,54,29,30,30
30,31,54,54,54,29,30,30,11,11,11,11,11,11,11,11,11,30,30,30,11,11,11,30,30,31,54,54,54,29,30,30
30,31,54,54,54,18,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,20,54,54,54,29,30,30
30,31,54,54,54,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,54,54,54,29,30,30
30,31,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,29,30,30
30,31,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,29,30,30
30,31,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,29,30,30
30,30,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,30,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
